date;UBS_CHINA_EQUITY_FUND
29.07.2019;18553
30.07.2019;18530
31.07.2019;18481
01.08.2019;18429
02.08.2019;17954
05.08.2019;17433
06.08.2019;16865
07.08.2019;16890
08.08.2019;16878
09.08.2019;17115
12.08.2019;17115
13.08.2019;17031
14.08.2019;17083
15.08.2019;17127
16.08.2019;17147
19.08.2019;17389
20.08.2019;17811
21.08.2019;17796
22.08.2019;17887
23.08.2019;17865
26.08.2019;17742
27.08.2019;17593
28.08.2019;17724
29.08.2019;17729
30.08.2019;17887
02.09.2019;17953
03.09.2019;18079
04.09.2019;17882
05.09.2019;18200
06.09.2019;18499
09.09.2019;18586
10.09.2019;18567
11.09.2019;18449
12.09.2019;18437
13.09.2019;18663
16.09.2019;18663
17.09.2019;18716
18.09.2019;18571
19.09.2019;18726
20.09.2019;18618
23.09.2019;18618
24.09.2019;18380
25.09.2019;18266
26.09.2019;18299
27.09.2019;18394
30.09.2019;18234
01.10.2019;18233
02.10.2019;18129
03.10.2019;18007
04.10.2019;18131
07.10.2019;18138
08.10.2019;18233
09.10.2019;18233
10.10.2019;18201
11.10.2019;18461
14.10.2019;18461
15.10.2019;18991
16.10.2019;19181
17.10.2019;19232
18.10.2019;19251
21.10.2019;19031
22.10.2019;19031
23.10.2019;18910
24.10.2019;18820
25.10.2019;19100
28.10.2019;19213
29.10.2019;19345
30.10.2019;19394
31.10.2019;19368
01.11.2019;19351
04.11.2019;19351
05.11.2019;19979
06.11.2019;20154
07.11.2019;20169
08.11.2019;20370
11.11.2019;20279
12.11.2019;19954
13.11.2019;19972
14.11.2019;19860
15.11.2019;19737
18.11.2019;19731
19.11.2019;19851
20.11.2019;20007
21.11.2019;19839
22.11.2019;19722
25.11.2019;19669
26.11.2019;19785
27.11.2019;19831
28.11.2019;19958
29.11.2019;20007
02.12.2019;19643
03.12.2019;19540
04.12.2019;19474
05.12.2019;19428
06.12.2019;19620
09.12.2019;19741
10.12.2019;19635
11.12.2019;19664
12.12.2019;19743
13.12.2019;19988
16.12.2019;20354
17.12.2019;20338
18.12.2019;20573
19.12.2019;20648
20.12.2019;20527
23.12.2019;20478
24.12.2019;20575
25.12.2019;20564
26.12.2019;20598
27.12.2019;20662
30.12.2019;20732
31.12.2019;20732
01.01.2020;20732
02.01.2020;20732
03.01.2020;20732
06.01.2020;20789
07.01.2020;20701
08.01.2020;20822
09.01.2020;20977
10.01.2020;21356
13.01.2020;21356
14.01.2020;21801
15.01.2020;21730
16.01.2020;21723
17.01.2020;21865
20.01.2020;21945
21.01.2020;21864
22.01.2020;21328
