date;beta1;beta2;beta3;beta4;beta5;beta6;beta7;beta8;beta9;beta10
197307;0.0176;0.0231;0.0429;0.0604;0.1195;0.1317;0.0989;0.1299;0.1591;0.2034
197308;-0.0384;-0.0312;-0.0306;-0.0045;-0.0168;-0.0247;-0.0396;-0.0546;-0.0401;-0.0472
197309;0.0436;0.0417;0.0091;0.104;0.0931;0.1039;0.0823;0.1133;0.1008;0.145
197310;0.0175;-0.0255;0.011;0.0111;0.0069;-0.0014;-0.0382;-0.0131;-0.0157;-0.0231
197311;-0.0828;-0.0964;-0.1075;-0.1053;-0.1772;-0.1689;-0.1852;-0.1899;-0.2305;-0.2483
197312;0.0299;0.0204;-0.0095;0.0413;-0.0047;0.0294;-0.0193;0.0095;0.0123;-0.0175
197401;-0.0374;0.0004;0.0167;-0.0241;0.0232;0.0303;0.0504;0.0377;0.0809;0.1148
197402;0.0002;-0.0036;-0.0032;0.0003;0.0179;0.0092;0.0077;0.0088;0.0364;0.015
197403;-0.0171;-0.0213;-0.0209;-0.0294;-0.0346;-0.0267;-0.0345;-0.0161;-0.0349;-0.0333
197404;-0.0454;-0.0469;-0.037;-0.0406;-0.043;-0.056;-0.0466;-0.0514;-0.0372;-0.0586
197405;-0.0361;-0.013;-0.0203;-0.0424;-0.0422;-0.0626;-0.087;-0.0593;-0.048;-0.0671
197406;-0.0209;-0.0091;-0.0076;-0.0093;-0.0355;-0.0192;-0.0517;-0.0329;-0.0471;-0.0499
197407;-0.0626;-0.0754;-0.0875;-0.0567;-0.0573;-0.0901;-0.0645;-0.0973;-0.0893;-0.0912
197408;-0.0757;-0.1006;-0.0781;-0.1062;-0.093;-0.0831;-0.0648;-0.0909;-0.0946;-0.0677
197409;-0.0952;-0.11;-0.1205;-0.1114;-0.1089;-0.1287;-0.1262;-0.1172;-0.0832;-0.1372
197410;0.1866;0.1871;0.131;0.1876;0.1594;0.2008;0.1296;0.0686;0.08;0.1266
197411;-0.0406;-0.049;-0.0414;-0.0211;-0.0408;-0.0522;-0.0399;-0.0373;-0.0496;-0.0392
197412;-0.0043;-0.0284;-0.0222;-0.0343;-0.0483;-0.0537;-0.0334;-0.0574;-0.0685;-0.0898
197501;0.0809;0.1353;0.1546;0.1529;0.1825;0.1796;0.1824;0.2666;0.3192;0.335
197502;0.0601;0.0485;0.0824;0.0409;0.0463;0.0694;0.0651;0.06;0.089;0.0715
197503;-0.0055;0.0211;0.0316;0.0557;0.0545;0.0696;0.0761;0.1075;0.0848;0.1385
197504;0.0321;0.0669;0.0252;0.0557;0.0638;0.078;0.0612;0.0652;0.1041;0.0532
197505;0.0697;0.0486;0.0367;0.0508;0.0526;0.037;0.0796;0.0855;0.0646;0.0716
197506;0.0432;0.0422;0.0512;0.0642;0.0648;0.0559;0.071;0.0951;0.0694;0.0915
197507;-0.0483;-0.0534;-0.0533;-0.0791;-0.0586;-0.0729;-0.0759;-0.0623;-0.0775;-0.0777
197508;-0.0202;-0.0056;-0.0233;-0.0126;-0.0328;-0.0269;-0.0469;-0.0492;-0.0557;-0.0545
197509;-0.0224;-0.0491;-0.0279;-0.0313;-0.0412;-0.0531;-0.0453;-0.0532;-0.0492;-0.0392
197510;0.0391;0.0532;0.06;0.0888;0.0579;0.069;0.0558;0.0633;0.0635;0.0537
197511;0.0159;0.0272;0.0411;0.0434;0.0313;0.026;0.0328;0.0441;0.0655;0.0173
197512;-0.0005;-0.0005;-0.0168;-0.0195;-0.0131;-0.0131;-0.0176;-0.0269;-0.0324;-0.0135
197601;0.0782;0.1373;0.1;0.1277;0.1362;0.1752;0.1457;0.1947;0.1713;0.2375
197602;-0.0131;-0.0105;-0.0042;-0.0016;0.0302;0.0253;0.0241;0.0401;0.0462;0.0881
197603;0.0349;0.0266;0.0395;0.0279;0.0226;0.01;0.0078;0.0154;0.0166;0.0134
197604;0.0082;0.002;-0.0091;-0.0347;-0.0025;-0.0061;-0.017;-0.0228;-0.0307;-0.0521
197605;0.0092;-0.0118;-0.0161;-0.0155;-0.0077;-0.0231;-0.0164;-0.0033;-0.0208;-0.0377
197606;0.0421;0.0386;0.0378;0.0467;0.0462;0.059;0.0457;0.0565;0.0676;0.0567
197607;0.0083;-0.005;-0.0082;-0.0114;0.0012;-0.0149;-0.0045;-0.0114;-0.0238;-0.0397
197608;0.0157;0.0021;-0.0011;0.0107;-0.0202;-0.008;-0.0265;-0.0184;-0.0221;-0.0433
197609;0.0423;0.0269;0.0301;0.0076;0.0065;0.0233;0.033;0.0121;0.0143;0.0273
197610;-0.0081;-0.0174;-0.0244;-0.0187;-0.023;-0.0276;-0.0274;-0.0326;-0.0475;-0.0525
197611;0.0167;-0.0092;-0.0198;0.0032;0.0194;0.0064;0.0262;0.0357;0.0308;0.0437
197612;0.0504;0.0644;0.0828;0.0358;0.068;0.0699;0.0678;0.0706;0.0885;0.0932
197701;-0.0086;-0.0334;-0.0516;-0.0592;-0.0441;-0.049;-0.03;-0.039;-0.0405;-0.0243
197702;-0.0113;-0.0217;-0.0204;-0.0077;-0.0095;-0.0186;-0.0194;-0.0292;-0.0235;-0.0286
197703;-0.0107;-0.011;-0.02;-0.0114;-0.0024;-0.0119;0.0044;0.0062;-0.0116;0.0007
197704;0.0207;0.0035;0.0008;-0.0276;0.0061;0.0288;0.018;0.0114;0.0182;-0.0121
197705;0;-0.0064;-0.0127;-0.0311;-0.0207;-0.0052;-0.006;0.0041;-0.0068;-0.0059
197706;0.0354;0.0515;0.0396;0.0558;0.0491;0.0619;0.0574;0.0805;0.0952;0.0865
197707;-0.0149;-0.0071;-0.0076;-0.0217;-0.0055;-0.018;-0.0208;-0.0115;-0.0144;-0.0006
197708;-0.03;-0.0255;0.0016;0;-0.0055;-0.0068;-0.0204;-0.006;-0.0006;-0.0007
197709;0.0092;0.0029;-0.0088;0.0073;-0.0041;-0.0046;-0.0017;-0.0017;0.0073;0.01
197710;-0.0344;-0.0247;-0.0383;-0.0556;-0.0402;-0.0387;-0.0309;-0.0519;-0.0403;-0.0463
197711;0.0257;0.0382;0.0363;0.0339;0.0615;0.0491;0.0776;0.0764;0.0942;0.0985
197712;0.0147;0.0035;0.0098;-0.0076;0.0056;0.0071;0.0095;0.003;0.0157;0.0134
197801;-0.0528;-0.0533;-0.0454;-0.0617;-0.0587;-0.0651;-0.0679;-0.0585;-0.0578;-0.0399
197802;0.0001;-0.0118;-0.0274;-0.0118;-0.0092;-0.0165;-0.0055;0.0041;0.0071;0.0192
197803;0.0224;0.0386;-0.003;0.034;0.0475;0.0511;0.0527;0.0527;0.0908;0.091
197804;0.0484;0.0565;0.1019;0.0965;0.1084;0.1082;0.1017;0.1038;0.1149;0.1099
197805;0.0085;0.016;0.0082;0.0246;0.0248;0.0254;0.044;0.0438;0.066;0.0806
197806;-0.0191;-0.0076;-0.0159;-0.0067;-0.0085;-0.0098;-0.0082;-0.0145;-0.0036;-0.0042
197807;0.0266;0.0394;0.0502;0.0696;0.0572;0.0688;0.0695;0.0806;0.081;0.1062
197808;0.0386;0.0279;0.0284;0.0361;0.0389;0.0538;0.0496;0.0457;0.0663;0.0987
197809;0.0244;0.0077;-0.0062;-0.0154;-0.0216;-0.0228;-0.0298;-0.0173;-0.0237;-0.0331
197810;-0.0761;-0.0841;-0.1055;-0.0893;-0.116;-0.1162;-0.1345;-0.1769;-0.1761;-0.2338
197811;0.0373;0.0274;0.0104;0.0331;0.0344;0.0357;0.0275;0.0569;0.0503;0.0811
197812;0.0097;0.0118;0.0005;0.0386;0.0279;0.0132;0.0183;0.0114;0.0043;0.034
197901;0.0416;0.0467;0.0544;0.0434;0.0554;0.0515;0.0429;0.0615;0.0705;0.0621
197902;-0.0094;-0.0171;-0.0255;-0.0244;-0.0388;-0.0413;-0.0345;-0.0538;-0.0533;-0.0678
197903;0.0478;0.0432;0.0622;0.062;0.0656;0.066;0.0879;0.097;0.0862;0.1153
197904;0.007;0.014;0.0081;-0.0033;0.0061;0.002;0.0084;0.0176;0.0252;0.0125
197905;-0.0105;-0.0107;-0.0075;-0.0163;-0.0212;-0.0133;-0.0064;-0.0247;-0.0196;-0.0322
197906;0.0518;0.0518;0.0445;0.0238;0.0597;0.0373;0.0543;0.0667;0.0422;0.0549
197907;0.0106;0.0221;0.0199;0.002;0.0116;0.0194;0.0135;0.0269;0.0323;0.0308
197908;0.0394;0.0583;0.0697;0.0506;0.0714;0.0687;0.0727;0.0845;0.0922;0.0867
197909;-0.0069;0.0267;0.0136;-0.009;0.0019;-0.0018;-0.0211;-0.0087;-0.0247;0.0007
197910;-0.0383;-0.0547;-0.0853;-0.0837;-0.0735;-0.0884;-0.0769;-0.0857;-0.1041;-0.1038
197911;0.0635;0.0538;0.0486;0.0694;0.0602;0.0735;0.0457;0.0721;0.0573;0.1183
197912;0;0.0155;0.027;0.0178;0.034;0.0335;0.0443;0.0434;0.0673;0.0754
198001;0.0539;0.0779;0.0891;0.0415;0.0567;0.0437;0.0621;0.0715;0.0425;0.0962
198002;0.0202;0.0698;0.0052;-0.045;-0.0308;-0.0435;-0.0445;-0.0291;-0.0079;-0.0192
198003;-0.0914;-0.1291;-0.1267;-0.1022;-0.1157;-0.09;-0.0898;-0.1277;-0.1575;-0.1879
198004;0.0757;0.0658;0.0532;0.0249;0.0421;0.0403;0.0327;0.0372;0.0599;0.0579
