date;BAB;Value;SCMOM;ESG
01.2018;-0.00038106;-0.02701549;0.03673163;0.00420215
02.2018;-0.01948469;-0.03182355;-0.02992428;0.036912808
03.2018;0.02460877;0.00908398;0.00868631;-0.007408533
04.2018;0.00087942;0.02153370;0.00751108;-0.01038615
05.2018;0.00618655;-0.03281479;0.08579375;0.011174375
06.2018;0.02423174;0.00174775;0.01212665;-0.012036575
07.2018;-0.00368532;0.00242622;0.01345483;0.02815055
08.2018;-0.01225661;-0.04762723;0.05191603;0.022157183
09.2018;-0.00617812;-0.00127954;-0.03793880;0.006599042
10.2018;0.02115598;0.03357955;-0.12030198;0.004624725
11.2018;-0.00100485;-0.01381495;0.00606819;-0.016970983
12.2018;-0.00039520;-0.02521308;-0.12094379;0.013719492
01.2019;-0.00641835;0.03008375;0.09168263;-0.0229757
02.2019;0.00013440;-0.02765779;0.06070606;0.015865667
03.2019;0.00282656;-0.02581517;-0.02109410;0.031336725
